Beer_name,Price_euro,Origin,Rating,Brewery,Percentage,Beer_type,Countenance,Volume_ml,Price_per_litter,Beer_type_general,ba_abv,ba_avg,ba_avg_computed,ba_avg_matched_valid_ratings,ba_ba_score,ba_beer_id,ba_beer_name,ba_beer_wout_brewery_name,ba_brewery_id,ba_brewery_name,ba_bros_score,ba_nbr_matched_valid_ratings,ba_nbr_ratings,ba_nbr_reviews,ba_style,ba_zscore,rb_abv,rb_avg,rb_avg_computed,rb_avg_matched_valid_ratings,rb_beer_id,rb_beer_name,rb_beer_wout_brewery_name,rb_brewery_id,rb_brewery_name,rb_nbr_matched_valid_ratings,rb_nbr_ratings,rb_overall_score,rb_style,rb_style_score,rb_zscore,scores_diff,scores_sim
Papegaei,3.14,Belgium,3.6,Brouwerij Verstraete,8.0,Belgian Strong Golden Ale,Bottle 750ml,750,4.19,Belgian Strong Golden Ale,8.0,3.88,3.8647058823529417,3.917499999999999,85.0,51076,Papegaei,Papegaei,20509,Brouwerij Verstraete,,12,34,11,Belgian Strong Pale Ale,-0.0775610345377781,8.0,3.35,3.3802325581395354,3.3802325581395354,105495,Papegaei,Papegaei,15384,Brouwerij Verstraete,172,172,72.0,Belgian Strong Ale,56.0,-0.0234613653616927,1.0,1.0
Weiherer Rauch,2.1,Germany,3.39,Brauerei Kundmüller,5.3,Rauchbier,500ml,500,4.2,Rauchbier,5.3,3.52,3.5068,3.5622222222222213,82.0,33055,Weiherer Rauch,Rauch Weiherer,5928,Brauerei Gasthof Kundmüller,,18,25,17,Rauchbier,-0.6385046578370465,5.3,3.34,3.345320197044335,3.345320197044335,36062,Weiherer Rauch,Rauch Weiherer,1822,Brauerei-Gasthof Kundmüller,203,203,70.0,Smoked,57.0,-0.0522803937371127,0.912556295323109,1.0000000000000002
Weiherer Keller,2.1,Germany,3.46,Brauerei Kundmüller,4.9,Kellerbier / Zwickelbier,500ml,500,4.2,Kellerbier / Zwickelbier,4.9,3.94,3.946923076923076,3.935,85.0,54103,Weiherer Keller,Keller Weiherer,5928,Brauerei Gasthof Kundmüller,,6,13,6,Kellerbier / Zwickelbier,0.0354874120796342,4.9,3.3,3.3103773584905665,3.3103773584905665,91056,Weiherer Keller,Keller Weiherer,1822,Brauerei-Gasthof Kundmüller,106,106,64.0,Zwickel/Keller/Landbier,94.0,-0.1704407994236046,0.912556295323109,1.0000000000000002
Festbier,2.1,Germany,3.37,Brauerei Ott,5.7,Festbier,500ml,500,4.2,Festbier,5.8,3.85,3.85,3.85,,122472,Festbier,Festbier,5949,Brauerei Ott,,1,1,1,Märzen / Oktoberfest,-0.214492523187887,5.8,3.09,3.175,3.175,54112,Ott Festbier,Festbier,1877,Brauerei Gasthof Ott,8,8,,Oktoberfest/Märzen,,-0.3551464603880229,1.0,1.0
Weiherer Pils,2.1,Germany,3.37,Brauerei Kundmüller,4.7,Pilsner - German,500ml,500,4.2,Pilsner,4.7,3.76,3.8242857142857134,3.6975,,33080,Weiherer Pils,Pils Weiherer,5928,Brauerei Gasthof Kundmüller,,4,7,4,German Pilsener,-0.139597844311085,4.7,3.25,3.27,3.27,36063,Weiherer Pils,Pils Weiherer,1822,Brauerei-Gasthof Kundmüller,50,50,56.0,Pilsener,93.0,-0.1828573110652935,0.912556295323109,1.0000000000000002
Helleketel,3.25,Belgium,3.32,Brouwerij De Bie,7.0,Belgian Strong Golden Ale,Bottle 750ml,750,4.33,Belgian Strong Golden Ale,7.0,3.6,3.6288888888888895,3.751333333333333,83.0,2579,Helleketelbier,Helleketelbier,827,Brouwerij De Bie,88.0,30,36,30,Belgian Strong Pale Ale,-0.3989483961784537,7.0,3.24,3.2411016949152542,3.2411016949152542,9412,De Bie Helleketelbier,Helleketelbier De,1226,Brouwerij de Bie,236,236,55.0,Belgian Ale,73.0,-0.1843226700810134,0.935047196677601,0.935047196677601
Störtebeker Hanse-Porter,2.19,Germany,3.11,Störtebeker Braumanufaktur,4.0,Porter - Other,500ml,500,4.38,Porter,4.0,2.81,2.876666666666667,2.7207692307692306,76.0,38396,Störtebeker Hanse-Porter,HansePorter,12511,Störtebeker Braumanufaktur,,13,36,13,English Porter,-1.9077087577021656,4.0,2.45,2.436821705426357,2.436821705426357,56569,Störtebeker Hanse-Porter,HansePorter,951,Störtebeker Braumanufaktur,258,258,9.0,Porter,1.0,-1.69327603244733,1.0,1.0
Störtebeker BIO Starkbier,2.19,Germany,3.36,Störtebeker Braumanufaktur,7.5,Bock - Doppelbock,500ml,500,4.38,Bock,7.5,3.83,3.888571428571428,3.79,84.0,38337,Störtebeker Stark-bier,Starkbier,12511,Störtebeker Braumanufaktur,,7,14,7,Doppelbock,-0.0218617768619355,7.5,3.45,3.4649253731343284,3.4649253731343284,54787,Störtebeker Stark-Bier,StarkBier,951,Störtebeker Braumanufaktur,134,134,83.0,Baltic Porter,49.0,0.1027905732782037,1.0,1.0
Störtebeker Atlantik Ale,2.19,Germany,3.49,Störtebeker Braumanufaktur,5.1,Pale Ale - American,500ml,500,4.38,Pale Ale,5.1,3.73,3.6784615384615376,3.815,84.0,82736,Störtebeker Atlantik-Ale,AtlantikAle,12511,Störtebeker Braumanufaktur,,10,26,10,American Pale Ale (APA),-0.4749538501375808,5.1,3.39,3.430543933054393,3.430543933054393,166614,Störtebeker Atlantik-Ale,AtlantikAle,951,Störtebeker Braumanufaktur,239,239,77.0,American Pale Ale,78.0,0.011537663057656,1.0,1.0
Arcobräu Mooser Liesl Helles,2.19,Germany,3.48,Arcobräu Gräfliches Brauhaus,5.3,Lager - Helles,500ml,500,4.38,Lager,5.3,2.71,2.7416666666666667,2.686666666666666,,198460,Arcobräu Mooser Liesl,Liesl Mooser,5709,Arcobräu Gräfliches Brauhaus,,3,6,3,Munich Helles Lager,-2.679877666582968,5.3,2.79,2.7875,2.7875,361843,Arcobräu Mooser Liesl,Liesl Mooser,2691,Arcobräu Gräfliches Brauhaus,64,64,21.0,Dortmunder/Helles,43.0,-1.3105062382694124,1.0000000000000002,1.0000000000000002
Helles Vollbier,2.2,Germany,3.29,Löwenbräu Buttenheim,5.0,Lager - Helles,500ml,500,4.4,Lager,5.0,3.89,3.921666666666667,3.87,,50314,Vollbier Hell,Hell Vollbier,15368,Löwenbräu Buttenheim,,2,6,2,Munich Helles Lager,-0.0107819460537046,5.0,3.05,3.0604651162790697,3.0604651162790697,48308,Löwenbräu Buttenheim Vollbier Hell,Hell Vollbier,2996,Löwenbräu Buttenheim,43,43,40.0,Dortmunder/Helles,87.0,-0.5020424148190897,1.0000000000000002,1.0000000000000002
Lagerbier ungespundet,2.2,Germany,3.34,Löwenbräu Buttenheim,4.8,Kellerbier / Zwickelbier,500ml,500,4.4,Kellerbier / Zwickelbier,4.8,4.07,4.0295000000000005,4.098333333333334,86.0,43887,Ungespundetes Lagerbier,Lagerbier Ungespundetes,15368,Löwenbräu Buttenheim,,12,20,12,Kellerbier / Zwickelbier,0.2938885856685645,4.8,3.3,3.315873015873016,3.315873015873016,28618,Löwenbräu Buttenheim Ungespundetes Lagerbier,Lagerbier Ungespundetes,2996,Löwenbräu Buttenheim,126,126,65.0,Zwickel/Keller/Landbier,94.0,-0.0459028836830659,1.0000000000000002,1.0000000000000002
Störtebeker Glüh-Bierpunsch,2.29,Germany,3.18,Störtebeker Braumanufaktur,5.0,Spiced / Herbed Beer,500ml,500,4.58,Spiced / Herbed Beer,5.0,3.11,3.315,3.03,,102931,Störtebeker Glüh-Bier,GlühBier,12511,Störtebeker Braumanufaktur,,1,4,1,Fruit / Vegetable Beer,-1.1359462532790592,5.0,2.49,2.4830769230769234,2.4830769230769234,158572,Störtebeker Glüh-Bier,GlühBier,951,Störtebeker Braumanufaktur,65,65,10.0,Spice/Herb/Vegetable,12.0,-1.5892924911935653,1.0,1.0
Störtebeker Baltik-Lager,2.29,Germany,3.33,Störtebeker Braumanufaktur,5.5,Märzen,500ml,500,4.58,Märzen,5.5,3.21,3.2900000000000005,3.1533333333333333,,216602,Störtebeker Baltik-Lager,BaltikLager,12511,Störtebeker Braumanufaktur,,3,6,3,Vienna Lager,-1.5327227395416267,5.5,3.0,3.016666666666666,3.016666666666666,397923,Störtebeker Baltik-Lager,BaltikLager,951,Störtebeker Braumanufaktur,36,36,36.0,Zwickel/Keller/Landbier,48.0,-0.916072630162176,1.0,1.0
Gaffel Kölsch,2.29,Germany,3.35,Privatbrauerei Gaffel Becker,4.8,Kölsch,500ml,500,4.58,Kölsch,4.8,3.65,3.6670484061393154,3.6551162790697673,83.0,4137,Gaffel Kölsch,Kölsch,1536,Privatbrauerei Gaffel Becker & Co.,,387,847,378,Kölsch,-0.371304403551042,4.8,2.93,2.9378802747791952,2.9378802747791952,1692,Gaffel Kölsch,Kölsch,301,Privatbrauerei Gaffel Becker & Co.,1019,1019,30.0,Kölsch,44.0,-0.7203363195521605,0.5064052158109147,1.0
Schönramer Hell,2.29,Germany,3.58,Private Landbrauerei Schönram,5.0,Lager - Helles,500ml,500,4.58,Lager,5.0,3.74,3.794,3.911666666666666,84.0,62170,Schönramer Hell,Hell Schönramer,5855,Private Landbrauerei Schönram,,6,10,4,Munich Helles Lager,-0.3113993507764468,5.0,2.94,2.96063829787234,2.96063829787234,17985,Schönramer Hell,Hell Schönramer,2818,Private Landbrauerei Schönram,94,94,31.0,Dortmunder/Helles,72.0,-0.7558537661732613,0.9217139281689166,1.0
Weihenstephaner Hefeweissbier,2.3,Germany,3.78,Bayerische Staatsbrauerei Weihenstephan,5.4,Wheat Beer - Hefeweizen,500ml,500,4.6,Wheat Beer,5.8,3.7,3.7354815772462815,3.695513428120064,84.0,6861,Weihenstephaner Festbier,Festbier Weihenstephaner,252,Bayerische Staatsbrauerei Weihenstephan,,633,1547,620,Märzen / Oktoberfest,-0.2613336676458288,5.8,3.05,3.053412073490813,3.053412073490813,7679,Weihenstephaner Festbier,Festbier Weihenstephaner,282,Bayerische Staatsbrauerei Weihenstephan,762,762,40.0,Oktoberfest/Märzen,66.0,-0.5179897337653838,0.9068233674297018,1.0000000000000002
Brauerei Spezial - Rauchbier Märzen,2.3,Germany,3.71,Brauerei Spezial,5.3,Rauchbier,500ml,500,4.6,Rauchbier,5.3,4.07,4.039791666666667,4.096521739130435,88.0,6604,Spezial Rauchbier Märzen,Märzen Rauchbier,913,Brauerei Spezial,,23,48,23,Rauchbier,0.3256728058580147,5.3,3.63,3.64688796680498,3.64688796680498,13159,Spezial Rauchbier Märzen,Märzen Rauchbier,2040,Brauerei Spezial,241,241,94.0,Smoked,96.0,0.483793086973393,0.6759970070686865,1.0000000000000002
Weiherer Weizenbock,2.3,Germany,3.63,Brauerei Kundmüller,6.8,Bock - Weizenbock,500ml,500,4.6,Bock,6.8,4.07,4.095,4.27,,158469,Weiherer Weizenbock,Weizenbock Weiherer,5928,Brauerei Gasthof Kundmüller,,2,6,2,Weizenbock,0.2559404047430565,6.8,3.27,3.2888888888888896,3.2888888888888896,262960,Weiherer Weizenbock,Weizenbock Weiherer,1822,Brauerei-Gasthof Kundmüller,63,63,59.0,Weizen Bock,47.0,-0.2554842520188199,0.4493249313457453,1.0
Landskron Winterhopfen Festbier,2.39,Germany,3.24,Landskron Brauerei Görlitz,5.3,Festbier,500ml,500,4.78,Festbier,5.3,3.22,3.1633333333333336,3.25,,38132,Landskron Winterhopfen,Winterhopfen,7606,Landskron Brauerei,,1,3,1,German Pilsener,-1.4695463428870112,5.3,2.89,2.8849056603773584,2.8849056603773584,22810,Landskron Winterhopfen,Winterhopfen,1823,Landskron Brauerei,53,53,27.0,Oktoberfest/Märzen,37.0,-0.9016634572628048,1.0,1.0
Schönramer Pils,2.39,Germany,3.48,Private Landbrauerei Schönram,5.0,Pilsner - German,500ml,500,4.78,Pilsner,5.0,3.74,3.794,3.911666666666666,84.0,62170,Schönramer Hell,Hell Schönramer,5855,Private Landbrauerei Schönram,,6,10,4,Munich Helles Lager,-0.3113993507764468,5.0,2.94,2.96063829787234,2.96063829787234,17985,Schönramer Hell,Hell Schönramer,2818,Private Landbrauerei Schönram,94,94,31.0,Dortmunder/Helles,72.0,-0.7558537661732613,0.9217139281689166,1.0
Weltenburger Kloster Winter-Traum Märzen,2.39,Germany,3.29,Klosterbrauerei Weltenburg,5.4,Märzen,500ml,500,4.78,Märzen,5.2,3.67,3.6735185185185184,3.6611627906976736,83.0,7167,Weltenburger Kloster Winter-Traum,WinterTraum Kloster Weltenburger,1315,Klosterbrauerei Weltenburg,,86,108,85,Märzen / Oktoberfest,-0.2706366483566998,5.2,3.19,3.1923841059602647,3.19468438538206,13279,Weltenburger Kloster Winter-Traum,WinterTraum Kloster Weltenburger,689,Klosterbrauerei Weltenburg,301,302,49.0,Amber Lager/Vienna,94.0,-0.263994538771953,0.7346805767794691,1.0
Weltenburger Kloster Anno 1050 Märzen,2.39,Germany,3.51,Klosterbrauerei Weltenburg,5.5,Märzen,500ml,500,4.78,Märzen,5.5,3.71,3.7246308724832216,3.6855952380952384,84.0,5537,Weltenburger Kloster Anno 1050,Kloster Weltenburger 1050 Anno,1315,Klosterbrauerei Weltenburg,,84,149,79,Märzen / Oktoberfest,-0.295922407682515,5.5,3.15,3.153743315508022,3.153743315508022,6213,Weltenburger Kloster Anno 1050,Kloster Weltenburger 1050 Anno,689,Klosterbrauerei Weltenburg,374,374,46.0,Amber Lager/Vienna,92.0,-0.3577133448509312,0.7985537038874789,1.0000000000000002
Weihenstephaner Hefe Weissbier,2.4,Germany,3.78,Bayerische Staatsbrauerei Weihenstephan,5.4,Wheat Beer - Hefeweizen,500ml,500,4.8,Wheat Beer,6.4,3.67,3.88,3.5933333333333337,84.0,185547,Weihenstephaner Comet Weisse,Comet Weihenstephaner Weisse,252,Bayerische Staatsbrauerei Weihenstephan,,3,13,3,Hefeweizen,-0.1645140829013484,6.4,3.38,3.45,3.45,349892,Weihenstephaner Comet Weisse,Comet Weihenstephaner Weisse,282,Bayerische Staatsbrauerei Weihenstephan,24,24,77.0,German Hefeweizen,97.0,0.017245119192747,0.9329682158552144,1.0000000000000002
Märzen,2.45,Germany,3.44,Camba Bavaria,5.8,Märzen,500ml,500,4.9,Märzen,5.6,4.05,3.831666666666667,4.1400000000000015,,98968,Märzen,Märzen,29511,Camba Bavaria,,2,6,2,Märzen / Oktoberfest,-0.2231201070908028,5.6,3.06,3.06875,3.06875,128480,Camba Bavaria Truchtlinger Märzen,Märzen Truchtlinger,9989,Camba Bavaria,48,48,41.0,Oktoberfest/Märzen,68.0,-0.5907804163640145,0.8673151290881559,0.8673151290881559
Weihenstephaner Pils,2.45,Germany,3.57,Bayerische Staatsbrauerei Weihenstephan,5.1,Pilsner - German,500ml,500,4.9,Pilsner,7.7,4.26,4.275830439814815,4.257967346938775,95.0,35625,Weihenstephaner Vitus,Vitus Weihenstephaner,252,Bayerische Staatsbrauerei Weihenstephan,91.0,1225,3456,1197,Weizenbock,0.7014341647899327,7.7,3.76,3.7773504273504273,3.7773504273504273,70791,Weihenstephaner Vitus,Vitus Weihenstephaner,282,Bayerische Staatsbrauerei Weihenstephan,1872,1872,98.0,Weizen Bock,99.0,0.6962262600276231,0.9068233674297018,1.0000000000000002
Weihenstephaner Weissbier Hell,2.49,Germany,3.78,Bayerische Staatsbrauerei Weihenstephan,5.4,Wheat Beer - Hefeweizen,500ml,500,4.98,Wheat Beer,6.4,3.67,3.88,3.5933333333333337,84.0,185547,Weihenstephaner Comet Weisse,Comet Weihenstephaner Weisse,252,Bayerische Staatsbrauerei Weihenstephan,,3,13,3,Hefeweizen,-0.1645140829013484,6.4,3.38,3.45,3.45,349892,Weihenstephaner Comet Weisse,Comet Weihenstephaner Weisse,282,Bayerische Staatsbrauerei Weihenstephan,24,24,77.0,German Hefeweizen,97.0,0.017245119192747,0.9329682158552144,1.0000000000000002
Weltenburger Kloster Barock Dunkel,2.49,Germany,3.52,Klosterbrauerei Weltenburg,4.7,Lager - Munich Dunkel,500ml,500,4.98,Lager,4.7,3.9,3.922327868852459,3.899294871794872,87.0,4920,Weltenburger Kloster Barock Dunkel,Kloster Dunkel Barock Weltenburger,1315,Klosterbrauerei Weltenburg,,156,305,152,Munich Dunkel Lager,0.0568676161029069,4.7,3.46,3.470548862115128,3.470548862115128,4024,Weltenburger Kloster Barock Dunkel,Kloster Dunkel Barock Weltenburger,689,Klosterbrauerei Weltenburg,747,747,84.0,Dunkel/Tmavý,99.0,0.1882166918383038,0.5092252505490904,1.0000000000000002
Bayreuther Bock,2.5,Germany,3.51,Bayreuther Bierbrauerei,6.8,Bock - Single / Traditional,500ml,500,5.0,Bock,6.8,3.74,3.74,3.74,,182714,Bayreuther Bock Bier,Bier Bock,16829,Bayreuther Bierbrauerei,,1,1,1,Bock,-0.5816171330194775,6.8,3.21,3.333333333333333,3.333333333333333,194277,Bayreuther Bock Bier,Bier Bock,3742,Bayreuther Bierbrauerei,9,9,,Dunkler Bock,,-0.2939125608703388,1.0000000000000002,1.0000000000000002
Weihenstephaner Kellerbier,2.5,Germany,3.66,Bayerische Staatsbrauerei Weihenstephan,5.6,Kellerbier / Zwickelbier,500ml,500,5.0,Kellerbier / Zwickelbier,5.6,4.05,4.050714285714286,4.080432098765432,90.0,215147,Weihenstephaner 1516 Kellerbier,Kellerbier 1516 Weihenstephaner,252,Bayerische Staatsbrauerei Weihenstephan,90.0,162,392,155,Kellerbier / Zwickelbier,0.1470050252285292,5.6,3.45,3.452881355932204,3.452881355932204,399122,Weihenstephaner 1516 Kellerbier,Kellerbier 1516 Weihenstephaner,282,Bayerische Staatsbrauerei Weihenstephan,295,295,83.0,Zwickel/Keller/Landbier,98.0,-0.0478586322841253,0.9329682158552144,1.0000000000000002
Schönramer Lager Hell,2.69,Germany,3.58,Private Landbrauerei Schönram,5.0,Lager - Helles,500ml,500,5.38,Lager,5.0,3.74,3.794,3.911666666666666,84.0,62170,Schönramer Hell,Hell Schönramer,5855,Private Landbrauerei Schönram,,6,10,4,Munich Helles Lager,-0.3113993507764468,5.0,2.94,2.96063829787234,2.96063829787234,17985,Schönramer Hell,Hell Schönramer,2818,Private Landbrauerei Schönram,94,94,31.0,Dortmunder/Helles,72.0,-0.7558537661732613,0.9217139281689166,1.0
"Rothaus | Hefeweizen | 5,4%",2.7,Germany,3.59,Badische Staatsbrauerei Rothaus,5.4,Wheat Beer - Hefeweizen,500ml,500,5.4,Wheat Beer,5.4,3.98,3.974776119402984,3.9877777777777776,87.0,16811,Rothaus Hefeweizen,Hefeweizen,464,Badische Staatsbrauerei Rothaus AG,,36,67,35,Hefeweizen,0.1367431670889666,5.4,3.29,3.2875,3.2863468634686352,9284,Rothaus Hefeweizen,Hefeweizen,1602,Badische Staatsbrauerei Rothaus,271,272,63.0,German Hefeweizen,94.0,-0.1416483837694606,1.0,1.0
Rothaus Hefeweizen,2.8,Germany,3.59,Badische Staatsbrauerei Rothaus,5.4,Wheat Beer - Hefeweizen,500ml,500,5.6,Wheat Beer,5.4,3.98,3.974776119402984,3.9877777777777776,87.0,16811,Rothaus Hefeweizen,Hefeweizen,464,Badische Staatsbrauerei Rothaus AG,,36,67,35,Hefeweizen,0.1367431670889666,5.4,3.29,3.2875,3.2863468634686352,9284,Rothaus Hefeweizen,Hefeweizen,1602,Badische Staatsbrauerei Rothaus,271,272,63.0,German Hefeweizen,94.0,-0.1416483837694606,1.0,1.0
Andechser Weissbier Hell,2.85,Germany,3.71,Klosterbrauerei Andechs,5.5,Wheat Beer - Hefeweizen,500ml,500,5.7,Wheat Beer,4.8,4.03,4.0260425531914885,4.069090909090908,89.0,105785,Andechser Vollbier Hell,Andechser Hell Vollbier,911,Klosterbrauerei Andechs,,66,235,63,Munich Helles Lager,0.1674363952772365,4.8,3.17,3.1867187499999994,3.1867187499999994,6279,Andechser Vollbier Hell,Andechser Hell Vollbier,190,Klosterbrauerei Andechs,384,384,48.0,Dortmunder/Helles,95.0,-0.3424598525238834,0.4141122922781055,1.0000000000000002
Dulle Griet,1.9,Belgium,3.29,Scheldebrouwerij,6.5,Belgian Dubbel,330ml,330,5.76,Belgian Dubbel,6.5,3.59,3.596551724137931,3.5899999999999994,83.0,24441,Dulle Griet,Griet Dulle,552,Scheldebrouwerij,,11,29,11,Dubbel,-0.5024339469005965,6.5,3.34,3.35125,3.35125,6940,Scheldebrouwerij Dulle Griet,Griet Dulle,1172,Scheldebrouwerij,240,240,71.0,Abbey Dubbel,80.0,-0.0543159673507608,1.0000000000000002,1.0000000000000002
Lamme Goedzak,1.9,Belgium,3.56,Scheldebrouwerij,7.0,Belgian Blonde,330ml,330,5.76,Belgian Blonde,7.0,3.83,3.829318181818181,3.856363636363637,85.0,15572,Lamme Goedzak,Goedzak Lamme,552,Scheldebrouwerij,,22,44,19,Belgian Strong Pale Ale,-0.0979603959992712,7.0,3.33,3.3410596026490067,3.3410596026490067,6932,Scheldebrouwerij Lamme Goedzak,Goedzak Lamme,1172,Scheldebrouwerij,302,302,69.0,Belgian Ale,87.0,-0.035609705668589,1.0000000000000002,1.0000000000000002
Störtebeker Nordik Porter,2.89,Germany,3.56,Störtebeker Braumanufaktur,9.1,Bock - Eisbock,500ml,500,5.78,Bock,9.1,4.17,3.826666666666666,4.32,,280662,Störtebeker Nordik Porter,Nordik Porter,12511,Störtebeker Braumanufaktur,,1,3,1,Eisbock,-0.3894927438125772,9.1,3.64,3.75,3.75,462577,Störtebeker Nordik Porter,Nordik Porter,951,Störtebeker Braumanufaktur,24,24,94.0,Eisbock,88.0,0.4643586001615565,1.0000000000000002,1.0000000000000002
