Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Countenance_per_litre,Volume_ml,Price_per_litter,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Texels Skuumkoppe,8.99,Netherlands,3.62,Texelse Bierbrouwerij,6.0,Wheat Beer - Dunkelweizen,Can 440ml,"€ 14,75 per litre",440,20.431818181818183,23569,1995,Texelse Bierbrouwerij,Dunkelweizen,264,44.0,64.0,3.12,6.0,3.138636363636364,-0.4292250556278051,264,3.138636363636364
Westmalle Tripel,3.54,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,330ml,"€ 10,73 per litre",330,10.727272727272728,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Duvel,3.32,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,330ml,"€ 10,06 per litre",330,10.06060606060606,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Moinette Blonde,3.42,Belgium,3.56,Brasserie Dupont,8.5,Belgian Strong Golden Ale,330ml,"€ 10,36 per litre",330,10.363636363636363,6162,808,Brasserie Dupont,Belgian Strong Ale,950,97.0,97.0,3.73,8.5,3.7423157894736847,,0,
Val-Dieu Triple,7.5,Belgium,3.67,Brasserie de l'Abbaye du Val-Dieu,9.0,Belgian Tripel,Bottle 750ml,"€ 10,00 per litre",750,10.0,8761,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Tripel,735,90.0,93.0,3.53,9.0,3.542312925170068,0.3100455701879758,735,3.542312925170068
Blaugies La Moneuse,5.61,Belgium,3.74,Brasserie de Blaugies,8.0,Farmhouse Ale - Saison,Bottle 375ml,"€ 14,96 per litre",375,14.96,9351,1613,Brasserie de Blaugies,Saison,602,97.0,96.0,3.71,8.0,3.7152823920265785,0.5876271904534486,602,3.7152823920265785
Pinta A Ja Pale Ale,2.92,Poland,3.50,Browar PINTA,5.0,Pale Ale - American,500ml,"€ 5,84 per litre",500,5.84,299538,12742,Browar PINTA,American Pale Ale,297,80.0,82.0,3.42,4.5,3.43030303030303,-0.0501166259639992,297,3.43030303030303
Störtebeker Baltik-Lager,2.29,Germany,3.33,Störtebeker Braumanufaktur,5.5,Märzen,500ml,"€ 4,58 per litre",500,4.58,397923,951,Störtebeker Braumanufaktur,Zwickel/Keller/Landbier,36,36.0,48.0,3.0,5.5,3.016666666666666,-0.916072630162176,36,3.016666666666666
De Cam Oude Lambiek,12.04,Belgium,3.86,Geuzestekerij De Cam,6.5,Lambic - Traditional,Bottle 750ml,"€ 16,05 per litre",750,16.05333333333333,31842,2519,Geuzestekerij De Cam,Lambic Style - Unblended,503,99.0,96.0,3.85,5.0,3.8612326043737566,,0,
Troubadour Westkust,2.75,Belgium,3.56,Brouwerij The Musketeers,8.5,IPA - Imperial / Double Black,Bottle 750ml,"€ 21,32 per litre",750,3.6666666666666665,172328,11515,Brouwerij The Musketeers,Black IPA,538,97.0,95.0,3.71,9.2,3.718401486988848,,0,
Tegernseer Spezial,4.7,Germany,3.60,Herzoglich Bayerisches Brauhaus Tegernsee,5.6,Lager - Dortmunder / Export,500ml,"€ 9,40 per litre",500,9.4,20566,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Dortmunder/Helles,227,29.0,67.0,2.92,5.6,2.9237885462555067,-0.7437151221958773,227,2.9237885462555067
Val-Dieu Triple,2.75,Belgium,3.67,Brasserie de l'Abbaye du Val-Dieu,9.0,Belgian Tripel,330ml,"€ 8,33 per litre",330,8.333333333333332,8761,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Tripel,735,90.0,93.0,3.53,9.0,3.542312925170068,0.3100455701879758,735,3.542312925170068
Tegernseer 1806 Max I. Joseph Jubiläums Export,4.6,Germany,3.61,Herzoglich Bayerisches Brauhaus Tegernsee,5.2,Lager - Dortmunder / Export,500ml,"€ 9,20 per litre",500,9.2,62978,2843,Herzoglich Bayerisches Brauhaus Tegernsee,Dortmunder/Helles,83,38.0,85.0,3.03,5.2,3.0337349397590363,-0.5698289577995781,83,3.0337349397590363
Weihenstephaner Hefeweissbier,2.3,Germany,3.78,Bayerische Staatsbrauerei Weihenstephan,5.4,Wheat Beer - Hefeweizen,500ml,"€ 4,60 per litre",500,4.6,1156,282,Bayerische Staatsbrauerei Weihenstephan,German Hefeweizen,3250,98.0,100.0,3.82,5.4,3.848307692307692,,0,
Westmalle Tripel,7.99,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,Bottle 750ml,"€ 10,65 per litre",750,10.653333333333334,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Nittenauer Export,2.29,Germany,3.47,Brauhaus Nittenau,5.5,Lager - Dortmunder / Export,500ml,"€ 4,58 per litre",500,4.58,110633,8757,Brauhaus Nittenau,Dortmunder/Helles,1,,,2.86,5.6,3.5,,0,
De la Senne Taras Boulba,4.0,Belgium,3.35,Brasserie de la Senne,4.5,Belgian Blonde,330ml,"€ 12,12 per litre",330,12.12121212121212,56185,5322,Brasserie de la Senne,Belgian Ale,1045,88.0,96.0,3.5,4.5,3.5138755980861243,0.2239401319784678,1045,3.5138755980861243
Val-Dieu Brune,7.5,Belgium,3.50,Brasserie de l'Abbaye du Val-Dieu,8.0,Belgian Dubbel,Bottle 750ml,"€ 10,00 per litre",750,10.0,8762,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Dubbel,598,86.0,94.0,3.48,8.0,3.4859531772575267,0.2220401921067151,598,3.4859531772575267
Val-Dieu Blonde,7.5,Belgium,3.45,Brasserie de l'Abbaye du Val-Dieu,6.0,Belgian Blonde,Bottle 750ml,"€ 10,00 per litre",750,10.0,24198,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Ale,480,50.0,67.0,3.22,6.0,3.226458333333333,,0,
Orval,3.39,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,"€ 10,27 per litre",330,10.272727272727272,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Duvel,1.99,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,330ml,"€ 6,03 per litre",330,6.03030303030303,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Texels Vuurbaak,2.7,Netherlands,3.46,Texelse Bierbrouwerij,5.5,Red Ale - Irish,300ml,"€ 9,00 per litre",300,9.000000000000002,265183,1995,Texelse Bierbrouwerij,Irish Ale,67,59.0,94.0,3.27,5.5,3.2955223880597013,-0.2989749218877041,67,3.2955223880597013
Veldensteiner Rotbier,2.1,Germany,3.28,Kaiser Bräu,5.4,Lager - Rotbier,500ml,"€ 4,20 per litre",500,4.2,496628,2545,Kaiser Bräu,Amber Lager/Vienna,12,46.0,93.0,3.15,5.4,3.225,,0,
Giesinger Untergiesinger Erhellung,2.39,Germany,3.58,Giesinger Bräu,5.3,Kellerbier / Zwickelbier,500ml,"€ 4,78 per litre",500,4.78,76315,8125,Giesinger Bräu,Zwickel/Keller/Landbier,75,23.0,27.0,2.84,5.3,2.8346666666666667,,0,
De Eeuwige Jeugd Lellebel,2.6,Netherlands,3.57,Brouwerij de Eeuwige Jeugd,5.7,Blonde / Golden Ale - Other,330ml,"€ 7,88 per litre",330,7.878787878787879,507709,28294,Brouwerij De Eeuwige Jeugd,Belgian Ale,4,,,3.05,5.7,3.1750000000000003,,0,
De Eeuwige Jeugd Gladjanus,2.55,Netherlands,3.50,Brouwerij de Eeuwige Jeugd,5.2,IPA - White / Wheat,330ml,"€ 7,73 per litre",330,7.727272727272727,442224,28294,Brouwerij De Eeuwige Jeugd,Wheat Ale,16,50.0,79.0,3.2,4.6,3.2687500000000003,,0,
Toetëlèr Blond,2.9,Belgium,3.36,Brouwerij Den Toetëlèr,7.3,Belgian Blonde,330ml,"€ 14,24 per litre",330,8.787878787878787,507558,12610,Brouwerij Den Toetëlèr,Belgian Ale,7,,,3.01,7.3,3.0571428571428565,,0,
Troubadour Magma,2.8,Belgium,3.68,Brouwerij The Musketeers,8.5,IPA - Belgian,Bottle 330ml,"€ 8,48 per litre",330,8.484848484848484,119255,11515,Brouwerij The Musketeers,Imperial IPA,886,96.0,84.0,3.69,9.0,3.6992099322799104,,0,
Westmalle Tripel,2.6,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,Bottle 330ml,"€ 7,88 per litre",330,7.878787878787879,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Westmalle Dubbel,2.05,Belgium,3.69,Brouwerij der Trappisten van Westmalle,7.0,Belgian Dubbel,330ml,"€ 6,21 per litre",330,6.212121212121211,2205,379,Brouwerij der Trappisten van Westmalle,Abbey Dubbel,3080,99.0,100.0,3.84,7.0,3.845357142857144,,0,
Vedett Extra White,1.9,Belgium,3.51,Duvel Moortgat,4.7,Wheat Beer - Witbier / Blanche,330ml,"€ 5,76 per litre",330,5.757575757575757,91232,247,Duvel Moortgat,Witbier,551,40.0,50.0,3.07,4.7,3.077313974591652,,0,
Val-Dieu Brune,2.35,Belgium,3.50,Brasserie de l'Abbaye du Val-Dieu,8.0,Belgian Dubbel,330ml,"€ 7,12 per litre",330,7.121212121212121,8762,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Dubbel,598,86.0,94.0,3.48,8.0,3.4859531772575267,0.2220401921067151,598,3.4859531772575267
Gentse Strop,2.95,Belgium,3.46,Brouwerij Roman,6.9,Belgian Blonde,330ml,"€ 8,94 per litre",330,8.93939393939394,146019,953,Brouwerij Roman,Belgian Ale,220,52.0,70.0,3.23,6.9,3.24,,0,
Troubadour Magma,7.95,Belgium,3.68,Brouwerij The Musketeers,9.0,IPA - Belgian,Bottle 750ml,"€ 10,60 per litre",750,10.6,119255,11515,Brouwerij The Musketeers,Imperial IPA,886,96.0,84.0,3.69,9.0,3.6992099322799104,,0,
Orval,4.7,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,Bottle 330ml,"€ 14,24 per litre",330,14.242424242424242,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Abbaye des Rocs Triple Impériale,2.59,Belgium,3.66,Brasserie de l'Abbaye des Rocs,9.0,Belgian Strong Dark Ale,330ml,"€ 7,85 per litre",330,7.848484848484848,40722,131,Brasserie de lAbbaye des Rocs,Belgian Strong Ale,908,99.0,99.0,3.9,10.0,3.902312775330397,,0,
Othmar Blond,2.95,Netherlands,3.47,Ootmarsummer Bierbrouwerij Heupink & Co,6.5,Blonde / Golden Ale - Other,330ml,"€ 8,94 per litre",330,8.93939393939394,338130,13698,Ootmarsummer Bierbrouwerij Heupink & Co,Heller Bock,10,39.0,48.0,3.04,6.5,3.08,,0,
Beyerd Speciaal Blond,2.49,Netherlands,3.45,Brouwerij De Beyerd,6.9,Blonde / Golden Ale - Other,330ml,"€ 7,55 per litre",330,7.545454545454546,355887,5766,Bierbrouwerij De Beyerd,Golden Ale/Blond Ale,2,,,2.97,6.0,3.05,,0,
Beyerd Hefe Weisse,2.65,Netherlands,3.44,Brouwerij De Beyerd,5.5,Wheat Beer - Hefeweizen,330ml,"€ 8,03 per litre",330,8.03030303030303,48870,5766,Bierbrouwerij De Beyerd,German Hefeweizen,18,39.0,50.0,3.01,5.5,3.033333333333333,,0,
Aldersbacher Urhell,2.19,Germany,3.45,Brauerei Aldersbach,5.1,Lager - Helles,500ml,"€ 4,38 per litre",500,4.38,17776,3024,Brauerei Aldersbacher,Dortmunder/Helles,34,27.0,59.0,2.89,5.1,2.8852941176470583,,0,
The Garden Citrus IPA,3.39,Croatia,3.61,The Garden Brewery,7.2,IPA - Fruited,330ml,"€ 10,27 per litre",330,10.272727272727272,436592,27384,The Garden Brewery,India Pale Ale (IPA),42,78.0,56.0,3.4,7.2,3.4428571428571426,,0,
Giesinger Feines Pilschen,1.49,Germany,3.48,Giesinger Bräu,5.5,Pilsner - German,330ml,"€ 4,52 per litre",330,4.515151515151515,79299,8125,Giesinger Bräu,Pilsener,17,34.0,67.0,2.97,5.0,2.976470588235294,,0,
Moinette Biologique,3.99,Belgium,3.61,Brasserie Dupont,7.5,Farmhouse Ale - Saison,330ml,"€ 12,09 per litre",330,12.090909090909092,4680,808,Brasserie Dupont,Belgian Strong Ale,996,96.0,96.0,3.71,7.5,3.710140562248996,,0,
Duvel,2.99,Belgium,3.72,Duvel Moortgat,8.5,Belgian Strong Golden Ale,330ml,"€ 9,06 per litre",330,9.06060606060606,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Moinette Biologique,3.6,Belgium,3.61,Brasserie Dupont,7.5,Farmhouse Ale - Saison,330ml,"€ 10,91 per litre",330,10.909090909090908,4680,808,Brasserie Dupont,Belgian Strong Ale,996,96.0,96.0,3.71,7.5,3.710140562248996,,0,
Strieper The Uplifting Triple Decker Flying Apparatus,3.6,Netherlands,3.51,Strieper Craft Beer Company,8.5,Belgian Tripel,330ml,"€ 10,91 per litre",330,10.909090909090908,524648,29623,Strieper Craft Beer Company,Abbey Tripel,2,,,2.88,8.5,2.8,,0,
Strieper The Incredible Double Zen Boosting Chill Machine,3.5,Netherlands,3.31,Strieper Craft Beer Company,6.8,Belgian Dubbel,330ml,"€ 10,61 per litre",330,10.606060606060606,472230,29623,Strieper Craft Beer Company,Abbey Dubbel,1,,,2.94,6.8,3.0,,0,
Saison Dupont Biologique,2.3,Belgium,3.61,Brasserie Dupont,7.5,Farmhouse Ale - Saison,330ml,"€ 14,24 per litre",330,6.969696969696969,4679,808,Brasserie Dupont,Saison,585,88.0,79.0,3.5,5.5,3.5092307692307694,,0,
Westmalle Tripel,5.7,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,330ml,"€ 17,27 per litre",330,17.272727272727273,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Val-Dieu Grand Cru,7.5,Belgium,3.78,Brasserie de l'Abbaye du Val-Dieu,10.5,Belgian Quadrupel,Bottle 750ml,"€ 10,00 per litre",750,10.0,59715,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Strong Ale,618,97.0,97.0,3.75,10.5,3.767313915857605,0.6824188236774594,618,3.767313915857605
Jandrain-Jandrenouille III Gravity,2.25,Belgium,3.52,Brasserie de Jandrain-Jandrenouille,7.5,Belgian Strong Golden Ale,330ml,"€ 6,82 per litre",330,6.8181818181818175,519985,9051,Brasserie de Jandrain-Jandrenouille,Belgian Ale,3,,,3.19,7.5,3.533333333333333,,0,
De la Senne Bruxellensis,3.23,Belgium,3.32,Brasserie de la Senne,6.5,Brett Beer,Bottle 330ml,"€ 9,79 per litre",330,9.787878787878787,426608,5322,Brasserie de la Senne,Belgian Ale,141,98.0,100.0,3.79,6.5,3.82127659574468,,0,
Val-Dieu Grand Cru,3.5,Belgium,3.78,Brasserie de l'Abbaye du Val-Dieu,10.5,Belgian Quadrupel,330ml,"€ 10,61 per litre",330,10.606060606060606,59715,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Strong Ale,618,97.0,97.0,3.75,10.5,3.767313915857605,0.6824188236774594,618,3.767313915857605
Sloeber,3.05,Belgium,3.41,Brouwerij Roman,7.5,Belgian Strong Golden Ale,330ml,"€ 9,24 per litre",330,9.242424242424242,6401,953,Brouwerij Roman,Belgian Strong Ale,368,44.0,27.0,3.11,7.5,3.107880434782609,,0,
Papegaei,9.5,Belgium,3.60,Brouwerij Verstraete,8.0,Belgian Strong Golden Ale,Bottle 750ml,"€ 12,67 per litre",750,12.666666666666666,105495,15384,Brouwerij Verstraete,Belgian Strong Ale,172,72.0,56.0,3.35,8.0,3.3802325581395354,-0.0234613653616927,172,3.3802325581395354
Budels Goudblond,2.1,Netherlands,3.16,Budelse Brouwerij,6.0,Blonde / Golden Ale - Other,300ml,"€ 7,00 per litre",300,7.000000000000001,115535,1684,Budelse Brouwerij,Golden Ale/Blond Ale,153,19.0,22.0,2.75,6.0,2.739869281045752,-0.965987366819736,153,2.739869281045752
Budels Honing,2.1,Netherlands,3.15,Budelse Brouwerij,4.5,Honey Beer,300ml,"€ 7,00 per litre",300,7.000000000000001,22706,1684,Budelse Brouwerij,Pale Lager,117,6.0,69.0,2.26,4.5,2.235897435897436,,0,
Budels Zware Dobber,3.6,Netherlands,3.32,Budelse Brouwerij,8.5,Belgian Tripel,300ml,"€ 12,00 per litre",300,12.0,114974,1684,Budelse Brouwerij,Heller Bock,76,33.0,38.0,2.96,8.5,2.96578947368421,-0.6838524002426916,76,2.96578947368421
Budels Kolos,2.75,Netherlands,3.24,Budelse Brouwerij,7.5,Belgian Strong Golden Ale,300ml,"€ 9,17 per litre",300,9.166666666666668,115536,1684,Budelse Brouwerij,Belgian Strong Ale,108,39.0,16.0,3.03,7.5,3.028703703703704,-0.554164943375494,108,3.028703703703704
Val-Dieu Grand Cru,2.6,Belgium,3.78,Brasserie de l'Abbaye du Val-Dieu,10.5,Belgian Quadrupel,330ml,"€ 7,88 per litre",330,7.878787878787879,59715,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Strong Ale,618,97.0,97.0,3.75,10.5,3.767313915857605,0.6824188236774594,618,3.767313915857605
Ename Dubbel,2.2,Belgium,3.35,Brouwerij Roman,6.6,Belgian Dubbel,330ml,"€ 6,67 per litre",330,6.666666666666667,5196,953,Brouwerij Roman,Abbey Dubbel,271,47.0,44.0,3.15,6.5,3.1487084870848707,,0,
Becher Jean Paul Bier,1.9,Germany,3.19,Becher Bräu,5.5,Lager - Munich Dunkel,330ml,"€ 5,76 per litre",330,5.757575757575757,298696,5494,Becher-Bräu,Dunkel/Tmavý,3,,,2.76,5.5,2.566666666666667,,0,
Troubadour Imperial Stout,3.1,Belgium,3.64,Brouwerij The Musketeers,9.0,Stout - Belgian,330ml,"€ 9,39 per litre",330,9.393939393939394,171235,11515,Brouwerij The Musketeers,Imperial Stout,382,94.0,46.0,3.62,9.0,3.635078534031413,,0,
Duvel Tripel Hop Citra,3.69,Belgium,3.68,Duvel Moortgat,9.5,IPA - Belgian,330ml,"€ 11,18 per litre",330,11.181818181818182,496011,247,Duvel Moortgat,Belgian Strong Ale,473,98.0,98.0,3.76,9.5,3.7824524312896406,,0,
Moinette Blonde,2.7,Belgium,3.56,Brasserie Dupont,8.5,Belgian Strong Golden Ale,Bottle 750ml,"€ 11,33 per litre",750,3.6,6162,808,Brasserie Dupont,Belgian Strong Ale,950,97.0,97.0,3.73,8.5,3.7423157894736847,,0,
Abbaye des Rocs Brune,2.35,Belgium,3.64,Brasserie de l'Abbaye des Rocs,9.0,Belgian Strong Dark Ale,330ml,"€ 7,12 per litre",330,7.121212121212121,832,131,Brasserie de lAbbaye des Rocs,Belgian Strong Ale,1564,100.0,100.0,4.03,9.0,4.037020460358057,,0,
Moinette Blonde,2.95,Belgium,3.56,Brasserie Dupont,8.5,Belgian Strong Golden Ale,330ml,"€ 8,94 per litre",330,8.93939393939394,6162,808,Brasserie Dupont,Belgian Strong Ale,950,97.0,97.0,3.73,8.5,3.7423157894736847,,0,
Witkap Pater Tripel,3.3,Belgium,3.48,Brouwerij Slaghmuylder,7.5,Belgian Tripel,330ml,"€ 10,00 per litre",330,9.999999999999998,5397,797,Brouwerij Slaghmuylder,Abbey Tripel,429,79.0,80.0,3.41,7.5,3.4114219114219115,0.1067773129121793,429,3.4114219114219115
Vedett Extra White,2.2,Belgium,3.51,Duvel Moortgat,4.7,Wheat Beer - Witbier / Blanche,330ml,"€ 6,67 per litre",330,6.666666666666667,91232,247,Duvel Moortgat,Witbier,551,40.0,50.0,3.07,4.7,3.077313974591652,,0,
Toetëlèr Amber Tripel,2.45,Belgium,3.41,Brouwerij Den Toetëlèr,8.5,Belgian Tripel,330ml,"€ 7,42 per litre",330,7.424242424242425,169526,12610,Brouwerij Den Toetëlèr,Abbey Tripel,36,45.0,30.0,3.11,8.5,3.1305555555555564,-0.4980445682229619,36,3.1305555555555564
Toetëlèr Speculaas,2.51,Belgium,3.09,Brouwerij Den Toetëlèr,8.5,Spiced / Herbed Beer,330ml,"€ 7,61 per litre",330,7.606060606060605,193872,12610,Brouwerij Den Toetëlèr,Spice/Herb/Vegetable,31,37.0,44.0,3.01,8.5,3.02258064516129,-0.7188630584598509,31,3.02258064516129
Verzet Rebel Local,2.63,Belgium,3.45,Brouwerij 't Verzet,8.0,Belgian Tripel,330ml,"€ 7,97 per litre",330,7.969696969696969,142793,12773,Brouwerij t Verzet,India Pale Ale (IPA),180,67.0,45.0,3.32,8.5,3.3272222222222227,,0,
Duvel,3.29,Belgium,3.72,Duvel Moortgat,6.66,Belgian Strong Golden Ale,330ml,"€ 9,97 per litre",330,9.969696969696969,1434,247,Duvel Moortgat,Belgian Strong Ale,4449,98.0,98.0,3.79,8.5,3.8105641717239824,,0,
Verzet Moose Blues,2.61,Belgium,3.37,Brouwerij 't Verzet,7.5,Belgian Strong Dark Ale,330ml,"€ 7,91 per litre",330,7.909090909090908,159593,12773,Brouwerij t Verzet,Belgian Strong Ale,118,48.0,36.0,3.18,7.5,3.1838983050847456,,0,
Westmalle Dubbel,4.3,Belgium,3.69,Brouwerij der Trappisten van Westmalle,7.0,Belgian Dubbel,330ml,"€ 13,03 per litre",330,13.03030303030303,2205,379,Brouwerij der Trappisten van Westmalle,Abbey Dubbel,3080,99.0,100.0,3.84,7.0,3.845357142857144,,0,
Toetëlèr Amber Tripel,2.2,Belgium,3.41,Brouwerij Den Toetëlèr,8.5,Belgian Tripel,330ml,"€ 6,67 per litre",330,6.666666666666667,169526,12610,Brouwerij Den Toetëlèr,Abbey Tripel,36,45.0,30.0,3.11,8.5,3.1305555555555564,-0.4980445682229619,36,3.1305555555555564
Blaugies La Moneuse,7.27,Belgium,3.74,Brasserie de Blaugies,8.0,Farmhouse Ale - Saison,Bottle 750ml,"€ 9,69 per litre",750,9.693333333333332,9351,1613,Brasserie de Blaugies,Saison,602,97.0,96.0,3.71,8.0,3.7152823920265785,0.5876271904534486,602,3.7152823920265785
Cuvée De Ranke,10.3,Belgium,3.93,Brouwerij De Ranke,7.0,Sour - Other,Bottle 750ml,"€ 13,73 per litre",750,13.733333333333334,70647,6167,Brouwerij De Ranke,Sour/Wild Ale,669,99.0,98.0,3.9,7.0,3.908669656203288,0.9254671263528704,669,3.908669656203288
Struise Black Albert,4.5,Belgium,4.10,De Struise Brouwers,13.0,Stout - Belgian,330ml,"€ 13,64 per litre",330,13.636363636363637,77305,9244,De Struise Brouwers,Imperial Stout,1628,100.0,99.0,4.13,13.0,4.131941031941032,,0,
Westmalle Tripel,7.95,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,Bottle 750ml,"€ 10,60 per litre",750,10.6,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Saison Dupont Biologique,4.95,Belgium,3.42,Brasserie Dupont,5.5,Farmhouse Ale - Saison,Bottle 750ml,"€ 6,60 per litre",750,6.6000000000000005,4679,808,Brasserie Dupont,Saison,585,88.0,79.0,3.5,5.5,3.5092307692307694,,0,
Westmalle Tripel,5.3,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,Bottle 330ml,"€ 16,06 per litre",330,16.06060606060606,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Texels Goudkoppe,2.55,Netherlands,3.50,Texelse Bierbrouwerij,6.0,Belgian Blonde,300ml,"€ 8,50 per litre",300,8.5,87265,1995,Texelse Bierbrouwerij,Belgian Ale,132,43.0,47.0,3.1,6.0,3.1060606060606064,-0.474052183457998,132,3.1060606060606064
Papegaei,3.14,Belgium,3.60,Brouwerij Verstraete,8.0,Belgian Strong Golden Ale,Bottle 750ml,"€ 33,20 per litre",750,4.1866666666666665,105495,15384,Brouwerij Verstraete,Belgian Strong Ale,172,72.0,56.0,3.35,8.0,3.3802325581395354,-0.0234613653616927,172,3.3802325581395354
Orval,4.5,Belgium,3.68,Brasserie d'Orval,6.2,Pale Ale - Belgian,330ml,"€ 13,64 per litre",330,13.636363636363637,835,132,Brasserie dOrval,Belgian Ale,4486,99.0,100.0,3.91,6.2,3.92753009362461,,0,
Val-Dieu Grand Cru,8.2,Belgium,3.78,Brasserie de l'Abbaye du Val-Dieu,10.5,Belgian Quadrupel,Bottle 750ml,"€ 10,93 per litre",750,10.933333333333332,59715,1496,Brasserie de lAbbaye du Val-Dieu,Belgian Strong Ale,618,97.0,97.0,3.75,10.5,3.767313915857605,0.6824188236774594,618,3.767313915857605
Val-Dieu Triple,7.2,Belgium,3.67,Brasserie de l'Abbaye du Val-Dieu,9.0,Belgian Tripel,Bottle 750ml,"€ 9,60 per litre",750,9.6,8761,1496,Brasserie de lAbbaye du Val-Dieu,Abbey Tripel,735,90.0,93.0,3.53,9.0,3.542312925170068,0.3100455701879758,735,3.542312925170068
De la Senne Taras Boulba,2.53,Belgium,3.35,Brasserie de la Senne,4.5,Belgian Blonde,330ml,"€ 7,67 per litre",330,7.666666666666666,56185,5322,Brasserie de la Senne,Belgian Ale,1045,88.0,96.0,3.5,4.5,3.5138755980861243,0.2239401319784678,1045,3.5138755980861243
De la Senne Jambe-de-Bois,2.97,Belgium,3.56,Brasserie de la Senne,8.0,Belgian Tripel,330ml,"€ 9,00 per litre",330,9.0,90886,5322,Brasserie de la Senne,Abbey Tripel,521,93.0,95.0,3.6,8.0,3.604606525911709,,0,
Adriaen Brouwer Audenaerds Bruyn,1.9,Belgium,3.18,Brouwerij Roman,5.0,Brown Ale - Belgian,Can 440ml,"€ 17,50 per litre",440,4.318181818181818,29620,953,Brouwerij Roman,Sour Red/Brown,122,24.0,3.0,2.84,5.0,2.8352459016393445,,0,
Jandrain-Jandrenouille VI Wheat,2.25,Belgium,3.52,Brasserie de Jandrain-Jandrenouille,6.0,Wheat Beer - Witbier / Blanche,330ml,"€ 6,82 per litre",330,6.8181818181818175,125488,9051,Brasserie de Jandrain-Jandrenouille,Wheat Ale,246,92.0,99.0,3.57,6.0,3.5886178861788616,,0,
Westmalle Dubbel,2.89,Belgium,3.69,Brouwerij der Trappisten van Westmalle,7.0,Belgian Dubbel,330ml,"€ 8,76 per litre",330,8.757575757575758,2205,379,Brouwerij der Trappisten van Westmalle,Abbey Dubbel,3080,99.0,100.0,3.84,7.0,3.845357142857144,,0,
Westmalle Tripel,2.59,Belgium,3.81,Brouwerij der Trappisten van Westmalle,9.5,Belgian Tripel,330ml,"€ 7,85 per litre",330,7.848484848484848,2204,379,Brouwerij der Trappisten van Westmalle,Abbey Tripel,3467,99.0,100.0,3.85,9.5,3.8692817998269393,,0,
Steenbrugge Blond,2.4,Belgium,3.41,Brouwerij Palm,6.5,Belgian Blonde,330ml,"€ 7,27 per litre",330,7.272727272727272,85695,670,Brouwerij Palm,Belgian Ale,296,43.0,48.0,3.11,6.5,3.108108108108108,,0,
