Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Volume_ml,Price_per_litter,Beer_type_general,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Strieper The Uplifting Triple Decker Flying Apparatus,3.6,Netherlands,3.51,Strieper Craft Beer Company,8.5,Belgian Tripel,330ml,330,10.91,Belgian Tripel,524648,29623,Strieper Craft Beer Company,Abbey Tripel,2,,,2.88,8.5,2.8,,0,
Insel-Brauerei Baltic Dubbel,3.69,Germany,3.34,Rügener Insel-Brauerei,8.5,Belgian Dubbel,330ml,330,11.18,Belgian Dubbel,359727,24206,Rügener Insel-Brauerei GmbH,Abbey Dubbel,98,43.0,38.0,3.11,8.5,3.11530612244898,-0.7136835766217936,98,3.11530612244898
Insel-Brauerei Baltic Stout,3.69,Germany,3.33,Rügener Insel-Brauerei,7.5,Stout - Imperial / Double,330ml,330,11.18,Stout,362760,24206,Rügener Insel-Brauerei GmbH,Foreign Stout,98,54.0,30.0,3.24,7.5,3.251020408163265,-0.4386669694833214,98,3.251020408163265
Insel-Brauerei Insel Saison,3.69,Germany,3.41,Rügener Insel-Brauerei,5.6,Farmhouse Ale - Saison,330ml,330,11.18,Farmhouse Ale,359083,24206,Rügener Insel-Brauerei GmbH,Saison,63,42.0,14.0,3.08,5.5,3.0999999999999988,-0.7263812396424191,63,3.0999999999999988
Insel-Brauerei Baltic Ale,3.69,Germany,3.42,Rügener Insel-Brauerei,7.5,Belgian Strong Golden Ale,330ml,330,11.18,Belgian Strong Golden Ale,358346,24206,Rügener Insel-Brauerei GmbH,Belgian Strong Ale,90,39.0,18.0,3.05,7.5,3.055555555555556,-0.8042580396461528,90,3.055555555555556
Insel-Brauerei Baltic Tripel,3.69,Germany,3.57,Rügener Insel-Brauerei,9.5,Belgian Tripel,330ml,330,11.18,Belgian Tripel,362761,24206,Rügener Insel-Brauerei GmbH,Abbey Tripel,93,47.0,40.0,3.17,9.5,3.1752688172043007,-0.6096146933564901,93,3.1752688172043007
Flensburger Edles Helles,3.7,Germany,3.32,Flensburger Brauerei Emil Petersen,5.4,Lager - Helles,330ml,330,11.21,Lager,195665,299,Flensburger Brauerei,Dortmunder/Helles,70,18.0,36.0,2.74,5.4,2.731428571428572,,0,
La Rulles Estivale,8.58,Belgium,3.52,Brasserie Artisanale de Rulles,5.2,Farmhouse Ale - Saison,Bottle 750ml,750,11.44,Farmhouse Ale,48719,1896,Brasserie Artisanale de Rulles,Belgian Ale,621,95.0,99.0,3.65,5.2,3.660869565217391,,0,
Insel-Brauerei Insel Kreide,3.79,Germany,3.37,Rügener Insel-Brauerei,5.6,Bière de Champagne / Bière Brut,330ml,330,11.48,Bière de Champagne / Bière Brut,358350,24206,Rügener Insel-Brauerei GmbH,Witbier,72,41.0,52.0,3.08,5.5,3.0861111111111112,-0.7473373326805414,72,3.0861111111111112
Flensburger Gold,3.8,Germany,3.22,Flensburger Brauerei Emil Petersen,4.8,Lager - Helles,330ml,330,11.52,Lager,44426,299,Flensburger Brauerei,Dortmunder/Helles,351,8.0,5.0,2.39,4.8,2.386609686609687,,0,
Moonshine Pale Ale,5.1,England,3.57,Abbeydale Brewery,4.3,Pale Ale - English,Can 440ml,440,11.59,Pale Ale,241131,4784,Moonshine Brewery,Golden Ale/Blond Ale,3,,,2.94,3.9,2.966666666666667,,0,
Texels Bock,8.95,Netherlands,3.48,Texelse Bierbrouwerij,7.0,Bock - Single / Traditional,Bottle 750ml,750,11.93,Bock,17378,1995,Texelse Bierbrouwerij,Dunkler Bock,168,71.0,94.0,3.35,7.0,3.361904761904761,,0,
St. Louis Premium Kriek,2.99,Belgium,3.5,Kasteel Brouwerij Vanhonsebrouck,3.2,Lambic - Kriek,Bottle 250ml,250,11.96,Lambic,16858,956,Brouwerij Van Honsebrouck,Lambic Style - Fruit,343,38.0,22.0,3.03,3.2,3.034402332361517,,0,
Eem Potig,3.95,Netherlands,3.37,Brouwerij Eembier,7.5,Stout - Other,330ml,330,11.97,Stout,456277,10972,Bierbrouwerij de Eem,Stout,58,81.0,73.0,3.41,7.5,3.4413793103448285,,0,
Budels Zware Dobber,3.6,Netherlands,3.32,Budelse Brouwerij,8.5,Belgian Tripel,300ml,300,12.0,Belgian Tripel,114974,1684,Budelse Brouwerij,Heller Bock,76,33.0,38.0,2.96,8.5,2.96578947368421,-0.6838524002426916,76,2.96578947368421
Verzet Kameradski Balsamico,4.19,Belgium,3.63,Brouwerij 't Verzet,12.5,Stout - Russian Imperial,Bottle 330ml,330,12.7,Stout,472946,12773,Brouwerij t Verzet,Imperial Stout,36,99.0,84.0,3.83,13.5,3.9277777777777767,,0,
Bière de Noël,4.2,France,3.44,Brasserie Galibot,6.4,Lager - Winter,330ml,330,12.73,Lager,8198,365,Brasseurs RJ,Pale Lager,1,,,0.0,6.0,3.6,,0,
Bière de Noël,4.2,France,3.44,Brasserie Galibot,6.4,Lager - Winter,330ml,330,12.73,Lager,198169,15936,Petite Brasserie Picarde,Amber Ale,0,,,,8.0,,,0,
Grimbergen Winter,4.2,Belgium,3.44,Brouwerij Alken-Maes,6.5,Winter Ale,330ml,330,12.73,Winter Ale,186557,6372,Brouwerijen Alken-Maes (Heineken),Belgian Ale,128,42.0,46.0,3.09,6.5,3.09453125,,0,
Aphrodite,6.4,Canada,3.96,Brasserie Dieu du Ciel!,6.5,Stout - American,473ml,473,13.53,Stout,109210,668,Brasserie des Fagnes,Belgian Strong Ale,5,,,2.9,7.5,2.88,,0,
Struise Black Albert,4.5,Belgium,4.1,De Struise Brouwers,13.0,Stout - Belgian,330ml,330,13.64,Stout,77305,9244,De Struise Brouwers,Imperial Stout,1628,100.0,99.0,4.13,13.0,4.131941031941032,,0,
Cuvée De Ranke,10.3,Belgium,3.93,Brouwerij De Ranke,7.0,Sour - Other,Bottle 750ml,750,13.73,Sour,70647,6167,Brouwerij De Ranke,Sour/Wild Ale,669,99.0,98.0,3.9,7.0,3.908669656203288,0.9254671263528704,669,3.908669656203288
Hof Ten Dormaal Sloe,4.67,Belgium,3.66,Brouwerij Hof ten Dormaal,6.2,Sour - Fruited,330ml,330,14.15,Sour,414892,10535,Brouwerij Hof Ten Dormaal,Sour/Wild Ale,42,64.0,23.0,3.3,6.0,3.3309523809523816,,0,
St. Louis Premium Framboise,3.59,Belgium,3.73,Kasteel Brouwerij Vanhonsebrouck,2.8,Lambic - Framboise,Bottle 250ml,250,14.36,Lambic,28152,956,Brouwerij Van Honsebrouck,Lambic Style - Fruit,350,41.0,22.0,3.07,2.8,3.0711428571428576,,0,
Musa Born In The IPA,4.99,Portugal,3.6,Cerveja Musa,6.5,IPA - American,330ml,330,15.12,IPA,396189,26061,Cerveja Independente Musa,India Pale Ale (IPA),27,80.0,61.0,3.42,6.5,3.485185185185185,-0.0094159307867636,27,3.485185185185185
Shiner Bock,5.49,United States,3.5,Spoetzl Brewery,4.4,Bock - Single / Traditional,355ml,355,15.46,Bock,909,149,Spoetzl Brewery &#40;Gambrinus Company&#41;,Amber Lager/Vienna,1840,12.0,36.0,2.59,4.41,2.652282608695652,,0,
De Cam Oude Lambiek,12.04,Belgium,3.86,Geuzestekerij De Cam,6.5,Lambic - Traditional,Bottle 750ml,750,16.05,Lambic,31842,2519,Geuzestekerij De Cam,Lambic Style - Unblended,503,99.0,96.0,3.85,5.0,3.8612326043737566,,0,
Achel Blond Extra,13.75,Belgium,3.67,Brouwerij der Sint-Benedictusabdij De Achelse Kluis,8.0,Belgian Tripel,Bottle 750ml,750,18.33,Belgian Tripel,135870,1805,Brouwerij der Trappistenabdij De Achelse Kluis,Abbey Tripel,69,96.0,98.0,3.7,9.5,3.7434782608695656,,0,
Kasteelbier Donker,6.2,Belgium,3.64,Kasteel Brouwerij Vanhonsebrouck,11.0,Belgian Quadrupel,330ml,330,18.79,Belgian Quadrupel,5205,956,Brouwerij Van Honsebrouck,Belgian Strong Ale,1364,93.0,91.0,3.6,11.0,3.60608504398827,,0,
Kemker Stadt Land Bier,7.37,Germany,3.68,Kemker Kultuur (Brauerei J. Kemker),3.5,Farmhouse Ale - Saison,Bottle 375ml,375,19.65,Farmhouse Ale,521489,31642,Brauerei Kemker,Sour/Wild Ale,5,,,3.14,4.0,3.3,,0,
Bottle Logic Ocularity,9.5,United States,3.91,Bottle Logic Brewing,8.5,IPA - Imperial / Double,473ml,473,20.08,IPA,330750,18747,Bottle Logic Brewing,Imperial IPA,23,73.0,29.0,3.35,9.5,3.4173913043478263,,0,
AleSmith IPA,10.2,United States,3.78,AleSmith Brewing Company,6.0,Pale Ale - American,473ml,473,21.56,Pale Ale,14396,432,AleSmith Brewing Company,India Pale Ale (IPA),2366,100.0,100.0,4.08,7.25,4.084319526627219,,0,
