Beer_name,Price_euro,Origin,Rating,Brewery_df1,Percentage,Beer_type,Countenance,Volume_ml,Price_per_litter,Beer_type_general,beer_id,brewery_id,Brewery_df2,style,nbr_ratings,overall_score,style_score,avg,abv,avg_computed,zscore,nbr_matched_valid_ratings,avg_matched_valid_ratings
Ename Pater,1.95,Belgium,3.45,Brouwerij Roman,5.5,Belgian Enkel / Patersbier,330ml,330,5.91,Belgian Enkel / Patersbier,322880,953,Brouwerij Roman,Belgian Ale,49,62.0,81.0,3.29,5.5,3.318367346938776,,0,
St. Louis Premium Kriek,1.95,Belgium,3.4,Kasteel Brouwerij Vanhonsebrouck,4.0,Lambic - Kriek,330ml,330,5.91,Lambic,16858,956,Brouwerij Van Honsebrouck,Lambic Style - Fruit,343,38.0,22.0,3.03,3.2,3.034402332361517,,0,
Maisel & Friends IPA,1.95,Germany,3.48,Brauerei Gebr. Maisel,6.3,IPA - American,330ml,330,5.91,IPA,413629,778,Brauerei Gebr. Maisel Bayreuth,India Pale Ale (IPA),89,58.0,38.0,3.26,6.3,3.274157303370787,,0,
Zillertal Weißbier Dunkel,3.0,Austria,3.43,Zillertal Bier,5.0,Wheat Beer - Dunkelweizen,500ml,500,6.0,Wheat Beer,124750,4012,Zillertal,Dunkelweizen,28,30.0,30.0,2.92,5.0,2.9250000000000003,,0,
Zillertal Märzen,3.0,Austria,3.29,Zillertal Bier,5.1,Märzen,500ml,500,6.0,Märzen,27093,4012,Zillertal,Oktoberfest/Märzen,53,16.0,15.0,2.69,5.0,2.6773584905660384,,0,
Pinta Bawarka,3.0,Poland,3.47,Browar PINTA,5.7,Wheat Beer - Hefeweizen,500ml,500,6.0,Wheat Beer,517053,5333,Browar na Jurze,German Hefeweizen,46,88.0,99.0,3.51,6.1,3.5630434782608686,,0,
Zillertal Weißbier Hell,3.0,Austria,3.55,Zillertal Bier,5.0,Wheat Beer - Hefeweizen,500ml,500,6.0,Wheat Beer,70095,4012,Zillertal,German Hefeweizen,51,34.0,45.0,2.98,5.0,2.9823529411764707,,0,
Flensburger Winterbock,1.99,Germany,3.36,Flensburger Brauerei Emil Petersen,7.0,Bock - Single / Traditional,330ml,330,6.03,Bock,39590,299,Flensburger Brauerei,Heller Bock,231,29.0,30.0,2.9,7.0,2.9034632034632035,,0,
Peroni Nastro Azzurro,1.99,Italy,3.17,Birra Peroni,5.1,Lager - Pale,330ml,330,6.03,Lager,3029,511,Birra Peroni Industriale (SABMiller),Premium Lager,1455,5.0,6.0,2.14,5.1,2.15319587628866,,0,
San Miguel Especial,1.99,Spain,3.14,Grupo Mahou-San Miguel,4.5,Lager - Pale,330ml,330,6.03,Lager,13626,1897,San Miguel Spain (Grupo Mahou-San Miguel),Pale Lager,472,4.0,49.0,2.12,5.4,2.130084745762712,,0,
